id,build,kind,part,spec,qty_per_unit,supplier,url,eur_unit_q1,eur_unit_q10,eur_unit_q25,subtotal_per_unit_q1,subtotal_per_unit_q25,subtotal_batch25,estimate,notes
P0-01,P0,unit,Waveshare ESP32-S3-Touch-AMOLED-1.75,"ESP32-S3R8, 16 MB flash, 1.75"" round AMOLED 466x466 (CO5300) + CST9217 touch, ES8311+ES7210 2 mics, QMI8658, RTC, AXP2101, PWR key; kit speaker",1,Waveshare (or Eckstein DE / Botland PL),https://www.waveshare.com/esp32-s3-touch-amoled-1.75.htm,33,31,29,33,29,725,,List $29.99-39.99 [V]; EUR incl. shipping share. Buy 2 for P0 (one spare).
P0-02,P0,unit,LiPo cell 503035,"3.7 V ~500 mAh, protection PCM, 2-pin MX1.25 lead (check polarity vs board BAT connector); UN38.3 summary from seller",1,AliExpress / Robofun / Optimus Digital,https://www.aliexpress.com/w/wholesale-503035-lipo.html,6,4.5,3.5,6,3.5,87.5,[E],"CAD envelope 30.5 x 36.5 x 5.3 mm incl. swell (prototip/cad/soul_p0.py BAT). Foam, never glue (Battery Reg. Art. 11)."
P0-03,P0,unit,Micro speaker 1511,"15 x 11 x 3.5 mm, 8 ohm 1 W, wire leads -> MX1.25",1,AliExpress,https://www.aliexpress.com/w/wholesale-1511-speaker-8ohm.html,2,1.5,1.2,2,1.2,30.0,[E],The board kit speaker may be larger; P0 keep-out is 15 x 11 x 3.6 behind the PCB.
P0-04,P0,unit,M2 brass heat-set inserts,"M2, OD 3.2 mm, L 4 mm (plastic variant only; alu variant uses tapped M2 holes)",4,Ruthex / AliExpress,https://www.ruthex.de,0.08,0.06,0.05,0.32,0.2,5.0,[E],Pack of 100 ~EUR 6-9.
P0-05,P0,unit,"M2 screws, A2 stainless","M2 pan/countersunk, Torx T6 (or PH0); length <= screw_len_max in prototip/CHECKS.txt (typ. M2x5-M2x8)",4,AliExpress / Bossard / local,https://www.aliexpress.com/w/wholesale-m2-torx-screw-stainless.html,0.1,0.08,0.06,0.4,0.24,6.0,[E],2 lower (clamp chassis legs) + 2 upper (straight into front). Final v6 design: 2 x Torx T5 in the foot.
P0-06,P0,unit,Neodymium magnets,"Dia 6 x 2 mm N52, glued in base recesses (optional; dock alignment)",2,AliExpress / supermagnete.de,https://www.aliexpress.com/w/wholesale-n52-magnet-6x2.html,0.2,0.15,0.12,0.4,0.24,6.0,[E],"Keep >= 10 mm from antenna. ""Contains magnets"" warning in the guide."
P0-07,P0,unit,Magnetic pogo connector pair,"5-pin (or 4-pin) magnetic pogo, 2.54 mm pitch, male + female (optional OU dock; P0 charges over the board USB-C)",1,AliExpress,https://www.aliexpress.com/w/wholesale-magnetic-pogo-pin-connector-5pin.html,4,3,2.5,4,2.5,62.5,[E],"Final design: 5 gold pads on an FR4 coin (JLCPCB ENIG/hard gold, EUR 1-3 at 25)."
P0-08,P0,unit,"Foam, tapes","PU/PORON foam pad 0.8 mm under the cell, Kapton tape, thin 3M 9448/VHB for chassis",1,AliExpress / TME,https://www.tme.eu,1.0,0.6,0.4,1.0,0.4,10.0,[E],No adhesive on the battery itself.
P0-09,P0,unit,FDM fit-test print,"PETG/PLA front + back + chassis, 0.2 mm layers (plastic variant STLs)",1,home / Bambu / local print shop,https://craftcloud3d.com,3,3,3,3,3,0,[E],For fit only. Weigh and measure before ordering anything else.
P0-10,P0,unit,Printed chassis + PWR/BOOT pins + seam band,SLA Tough/black resin or MJF PA12 dyed black; always printed (both variants),1,JLC3DP / PCBWay / RO print shop,https://jlc3dp.com,12,8,6,12,6,150,[E],Seam band only for the alu_band variant (RF window).
P0-11,P0,unit,Looks-like shells (plastic variant),"SLA front + back shells, primer + metallic paint or Cerakote (20-30 um)",1,JLC3DP / RO print shop + Cerakote applicator,https://jlc3dp.com,45,35,0,45,0,0,[E],Prototype 1-3 only; $15-40 print + $10-25 finish (research/10 section 6). Not used in Founders 00.
P0-12,P0,unit,CNC aluminium shells (alu variant),"6061-T6, 2 halves (front + back), bead-blast ~50 um glass bead, anodise type II coloured + sealed; ISO 2768-m, +-0.05 on glass seat and seam",1,"JLCCNC / PCBWay / RapidDirect (EU: Weerg; RO: ARSAT, Alvi Technik)",https://jlccnc.com,200,145,92,200,92,2300,[E],"research/10 section 1.3: $150-300/set at qty 2, $110-220 @10, $70-140 @25. Price at qty 1 = order of 2 sets."
P0-13,P0,unit,OU capsule shell set,"SLA cup + lid + liner, sanded, primed, painted (frosted lid: clear resin + matte coat)",1,JLC3DP / RO print shop,https://jlc3dp.com,55,40,30,55,30,750,[E],"research/10: capsule incl. finish $35-60 @10, $25-45 @25. STL for OU not yet in the vault (gap)."
